# JWST NIRCAM preliminary Filter transmission curve
# http://www.stsci.edu/jwst/instruments/nircam/instrumentdesign/filters
# retrieved 2014.09.09 by S.Rodney
# Microns	Transmission
    1.679	1.234E-01
    1.680	1.078E-01
    1.681	9.497E-02
    1.682	8.371E-02
    1.683	7.445E-02
    1.684	6.611E-02
    1.685	5.856E-02
    1.686	5.098E-02
    1.687	4.365E-02
    1.688	3.697E-02
    1.689	3.113E-02
    1.690	2.617E-02
    1.691	2.206E-02
    1.692	1.855E-02
    1.693	1.563E-02
    1.694	1.315E-02
    1.695	1.111E-02
    1.696	9.388E-03
    1.697	7.947E-03
    1.698	6.762E-03
    1.699	5.758E-03
    1.700	4.928E-03
    1.701	4.226E-03
    1.702	3.634E-03
    1.703	3.132E-03
    1.704	2.707E-03
    1.705	2.346E-03
    1.706	2.039E-03
    1.707	1.781E-03
    1.708	1.557E-03
    1.709	1.365E-03
    1.710	1.199E-03
    1.711	1.054E-03
    1.712	9.296E-04
    1.713	8.208E-04
    1.714	7.291E-04
    1.715	6.479E-04
    1.716	5.784E-04
    1.717	5.156E-04
    1.718	4.615E-04
    1.719	4.140E-04
    1.720	3.731E-04
    1.721	3.360E-04
    1.722	3.030E-04
    1.723	2.744E-04
    1.724	2.482E-04
    1.725	2.259E-04
    1.726	2.046E-04
    1.727	1.870E-04
    1.728	1.697E-04
    1.729	1.554E-04
    1.730	1.420E-04
    1.731	1.299E-04
    1.732	1.200E-04
    1.733	1.092E-04
    1.734	1.005E-04
    1.735	9.178E-05
    1.736	8.477E-05
    1.737	7.881E-05
    1.738	7.353E-05
    1.739	6.872E-05
    1.740	6.353E-05
    1.741	5.840E-05
    1.742	5.411E-05
    1.743	5.050E-05
    1.744	4.658E-05
    1.745	4.341E-05
    1.746	4.009E-05
    1.747	3.769E-05
    1.748	3.571E-05
    1.749	3.417E-05
    1.750	3.213E-05
    1.751	3.013E-05
    1.752	2.812E-05
    1.753	2.651E-05
    1.754	2.489E-05
    1.755	2.336E-05
    1.756	2.241E-05
    1.757	2.226E-05
    1.758	2.188E-05
    1.759	1.989E-05
    1.760	1.885E-05
    1.761	1.696E-05
    1.762	1.662E-05
    1.763	1.570E-05
    1.764	1.622E-05
    1.765	1.670E-05
    1.766	1.547E-05
    1.767	1.452E-05
    1.768	1.248E-05
    1.769	1.328E-05
    1.770	1.217E-05
    1.771	1.283E-05
    1.772	1.140E-05
    1.773	1.166E-05
    1.774	1.152E-05
    1.775	1.041E-05
    1.776	1.043E-05
    1.777	1.083E-05
    1.778	1.199E-05
    1.779	1.267E-05
    1.780	1.144E-05
    1.781	1.137E-05
    1.782	1.023E-05
    1.783	1.172E-05
    1.784	1.079E-05
    1.785	1.162E-05
    1.786	9.684E-06
    1.787	9.905E-06
    1.788	9.484E-06
    1.789	1.092E-05
    1.790	1.107E-05
    1.791	9.880E-06
    1.792	9.593E-06
    1.793	9.130E-06
    1.794	1.031E-05
    1.795	9.773E-06
    1.796	8.871E-06
    1.797	8.341E-06
    1.798	7.720E-06
    1.799	8.088E-06
    1.800	7.246E-06
    1.801	8.956E-06
    1.802	9.286E-06
    1.803	9.784E-06
    1.804	7.404E-06
    1.805	7.225E-06
    1.806	8.181E-06
    1.807	9.790E-06
    1.808	1.091E-05
    1.809	1.031E-05
    1.810	1.000E-05
    1.811	1.083E-05
    1.812	1.035E-05
    1.813	1.040E-05
    1.814	9.197E-06
    1.815	9.985E-06
    1.816	9.763E-06
    1.817	9.437E-06
    1.818	9.181E-06
    1.819	9.949E-06
    1.820	9.416E-06
    1.821	9.661E-06
    1.822	9.289E-06
    1.823	1.096E-05
    1.824	1.062E-05
    1.825	1.144E-05
    1.826	1.017E-05
    1.827	1.018E-05
    1.828	9.534E-06
    1.829	1.065E-05
    1.830	1.130E-05
    1.831	1.050E-05
    1.832	9.171E-06
    1.833	8.407E-06
    1.834	9.453E-06
    1.835	1.030E-05
    1.836	1.027E-05
    1.837	9.030E-06
    1.838	9.136E-06
    1.839	9.332E-06
    1.840	1.082E-05
    1.841	9.858E-06
    1.842	9.813E-06
    1.843	9.500E-06
    1.844	1.001E-05
    1.845	8.645E-06
    1.846	8.048E-06
    1.847	9.562E-06
    1.848	1.063E-05
    1.849	1.198E-05
    1.850	1.056E-05
    1.851	1.005E-05
    1.852	8.458E-06
    1.853	7.804E-06
    1.854	9.140E-06
    1.855	1.077E-05
    1.856	1.123E-05
    1.857	1.052E-05
    1.858	9.399E-06
    1.859	9.423E-06
    1.860	9.871E-06
    1.861	9.531E-06
    1.862	8.831E-06
    1.863	9.334E-06
    1.864	1.054E-05
    1.865	1.143E-05
    1.866	1.114E-05
    1.867	1.109E-05
    1.868	1.176E-05
    1.869	1.198E-05
    1.870	1.145E-05
    1.871	1.024E-05
    1.872	7.826E-06
    1.873	5.622E-06
    1.874	5.644E-06
    1.875	7.431E-06
    1.876	1.055E-05
    1.877	1.199E-05
    1.878	1.356E-05
    1.879	1.288E-05
    1.880	1.200E-05
    1.881	1.093E-05
    1.882	1.037E-05
    1.883	9.739E-06
    1.884	1.145E-05
    1.885	1.157E-05
    1.886	1.423E-05
    1.887	1.247E-05
    1.888	1.259E-05
    1.889	1.077E-05
    1.890	1.051E-05
    1.891	1.118E-05
    1.892	1.120E-05
    1.893	1.109E-05
    1.894	1.111E-05
    1.895	1.201E-05
    1.896	1.061E-05
    1.897	1.073E-05
    1.898	9.310E-06
    1.899	1.087E-05
    1.900	8.915E-06
    1.901	9.603E-06
    1.902	1.106E-05
    1.903	1.207E-05
    1.904	1.172E-05
    1.905	1.032E-05
    1.906	1.081E-05
    1.907	1.165E-05
    1.908	1.048E-05
    1.909	1.106E-05
    1.910	1.057E-05
    1.911	1.178E-05
    1.912	1.144E-05
    1.913	1.055E-05
